Entry_ID;Entrytype;Featuretype
id_00126;entrytype:Toponym;featuretype:Provincia
id_00127;entrytype:Toponym;featuretype:Volcán
id_00128;entrytype:Toponym;featuretype:Pueblo
id_00129;entrytype:Toponym;featuretype:Pueblo
id_00130;entrytype:Toponym;featuretype:Pueblo
id_00131;entrytype:Toponym;featuretype:Pueblo
id_00132;entrytype:Toponym;featuretype:Isla
id_00133;entrytype:Toponym;featuretype:Cerro
id_00134;entrytype:Toponym;featuretype:Pueblo
id_00135;entrytype:Toponym;featuretype:Pueblo
id_00136;entrytype:Toponym;featuretype:Rio
id_00137;entrytype:Toponym;featuretype:Pueblo
id_00138;entrytype:Toponym;featuretype:Pueblo
id_00139;entrytype:Toponym;featuretype:Pueblo
id_00140;entrytype:Toponym;featuretype:Pueblo
id_00141;entrytype:Toponym;featuretype:Pueblo
id_00142;entrytype:Toponym;featuretype:Pueblo
id_00143;entrytype:Toponym;featuretype:Pueblo
id_00144;entrytype:Toponym;featuretype:Pueblo
id_00145;entrytype:Toponym;featuretype:Pueblo
id_00146;entrytype:Toponym;featuretype:Pueblo
id_00147;entrytype:Toponym;featuretype:Pueblo
id_00148;entrytype:Toponym;featuretype:Partido
id_00149;entrytype:Toponym;featuretype:Pueblo
id_00150;entrytype:Toponym;featuretype:Rio
id_00151;entrytype:Toponym;featuretype:Pueblo
id_00152;entrytype:Toponym;featuretype:Pueblo
id_00153;entrytype:Toponym;featuretype:Pueblo
id_00154;entrytype:Toponym;featuretype:Pueblo
id_00155;entrytype:Toponym;featuretype:Pueblo
id_00156;entrytype:Toponym;featuretype:Pueblo
id_00157;entrytype:Toponym;featuretype:Rio
id_00158;entrytype:Toponym;featuretype:Pueblo
id_00159;entrytype:Toponym;featuretype:Laguna
id_00160;entrytype:Toponym;featuretype:Rio
id_00161;entrytype:Toponym;featuretype:Rio
id_00162;entrytype:Toponym;featuretype:Rio
id_00163;entrytype:Toponym;featuretype:Pueblo
id_00164;entrytype:Toponym;featuretype:Pueblo
id_00165;entrytype:Toponym;featuretype:Población
id_00166;entrytype:Toponym;featuretype:Laguna
id_00167;entrytype:Toponym;featuretype:Rio
id_00168;entrytype:Toponym;featuretype:Rio
id_00169;entrytype:Toponym;featuretype:Rio
id_00170;entrytype:Toponym;featuretype:Puerto
id_00171;entrytype:Toponym;featuretype:Pueblo
id_00172;entrytype:Toponym;featuretype:Pueblo
id_00173;entrytype:Toponym;featuretype:Pueblo
id_00174;entrytype:Toponym;featuretype:Pueblo
id_00175;entrytype:Toponym;featuretype:Pueblo
id_00176;entrytype:Referral;featuretype:None
id_00177;entrytype:Toponym;featuretype:Pueblo
id_00178;entrytype:Toponym;featuretype:Monte
id_00179;entrytype:Toponym;featuretype:Laguna
id_00180;entrytype:Toponym;featuretype:Monte
id_00181;entrytype:Demonym;featuretype:Nación
id_00182;entrytype:Toponym;featuretype:Rio
id_00183;entrytype:Toponym;featuretype:Rio
id_00184;entrytype:Toponym;featuretype:Pueblo
id_00185;entrytype:Toponym;featuretype:Rio
id_00186;entrytype:Toponym;featuretype:Rio
id_00187;entrytype:Demonym;featuretype:Nación
id_00188;entrytype:Toponym;featuretype:Montes
id_00189;entrytype:Toponym;featuretype:Rio
id_00190;entrytype:Toponym;featuretype:Rio
id_00191;entrytype:Toponym;featuretype:Ciudad
id_00192;entrytype:Toponym;featuretype:Pueblo
id_00193;entrytype:Demonym;featuretype:Nación
id_00194;entrytype:Toponym;featuretype:Puerto
id_00195;entrytype:Toponym;featuretype:Rio
id_00196;entrytype:Toponym;featuretype:Manantiales
id_00197;entrytype:Toponym;featuretype:Pueblo
id_00198;entrytype:Toponym;featuretype:Bahía
id_00199;entrytype:Toponym;featuretype:Pueblo
id_00200;entrytype:Toponym;featuretype:Pueblo
id_00201;entrytype:Toponym;featuretype:Pueblo
id_00202;entrytype:Toponym;featuretype:Pueblo
id_00203;entrytype:Toponym;featuretype:Pueblo
id_00204;entrytype:Toponym;featuretype:Pueblo
id_00205;entrytype:Toponym;featuretype:Pueblo
id_00206;entrytype:Toponym;featuretype:Bahía
id_00207;entrytype:Toponym;featuretype:Punta
id_00208;entrytype:Toponym;featuretype:Rio
id_00209;entrytype:Toponym;featuretype:Rio
id_00210;entrytype:Toponym;featuretype:Farallón
id_00211;entrytype:Toponym;featuretype:Punta
id_00212;entrytype:Toponym;featuretype:Rio
id_00213;entrytype:Toponym;featuretype:Rio
id_00214;entrytype:Toponym;featuretype:Rio
id_00215;entrytype:Toponym;featuretype:Rio
id_00216;entrytype:Toponym;featuretype:Caleta
id_00217;entrytype:Toponym;featuretype:Pueblo
id_00218;entrytype:Toponym;featuretype:Pueblo
id_00219;entrytype:Toponym;featuretype:Pueblo
id_00220;entrytype:Toponym;featuretype:Pueblo
id_00221;entrytype:Toponym;featuretype:Pueblo
id_00222;entrytype:Toponym;featuretype:Pueblo
id_00223;entrytype:Toponym;featuretype:Rio
id_00224;entrytype:Toponym;featuretype:Pueblo
id_00225;entrytype:Toponym;featuretype:Pueblo
id_00226;entrytype:Toponym;featuretype:Pueblo
id_00227;entrytype:Toponym;featuretype:Rio
id_00228;entrytype:Toponym;featuretype:Pueblo
id_00229;entrytype:Toponym;featuretype:Laguna
id_00230;entrytype:Toponym;featuretype:Pueblo
id_00231;entrytype:Toponym;featuretype:Pueblo
id_00232;entrytype:Toponym;featuretype:Rio
id_00233;entrytype:Toponym;featuretype:Rio
id_00234;entrytype:Toponym;featuretype:Rio
id_00235;entrytype:Toponym;featuretype:Rio
id_00236;entrytype:Toponym;featuretype:Pueblo
id_00236a;entrytype:Toponym;featuretype:Pueblo
id_00237;entrytype:Toponym;featuretype:Pueblo
id_00238;entrytype:Toponym;featuretype:Rio
id_00239;entrytype:Toponym;featuretype:Rio
id_00240;entrytype:Referral;featuretype:None
id_00241;entrytype:Toponym;featuretype:Rio
id_00242;entrytype:Toponym;featuretype:Alcaldía mayor
id_00243;entrytype:Toponym;featuretype:Pueblo
id_00244;entrytype:Toponym;featuretype:Pueblo
id_00245;entrytype:Toponym;featuretype:Pueblo
id_00246;entrytype:Toponym;featuretype:Pueblo
id_00247;entrytype:Toponym;featuretype:Pueblo
id_00248;entrytype:Toponym;featuretype:Rio
id_00249;entrytype:Toponym;featuretype:Isla
id_00250;entrytype:Toponym;featuretype:Monte
id_00251;entrytype:Toponym;featuretype:Punta
id_00252;entrytype:Toponym;featuretype:Pueblo
id_00253;entrytype:Toponym;featuretype:Villa
id_00254;entrytype:Toponym;featuretype:Monte
id_00255;entrytype:Toponym;featuretype:Punta
id_00256;entrytype:Toponym;featuretype:Pueblo
id_00257;entrytype:Toponym;featuretype:Pueblo
id_00258;entrytype:Toponym;featuretype:Rio
id_00259;entrytype:Toponym;featuretype:Potreros
id_00260;entrytype:Toponym;featuretype:Punta
id_00261;entrytype:Toponym;featuretype:Punta
id_00261a;entrytype:Referral;featuretype:None
id_00262;entrytype:Toponym;featuretype:Pueblo
id_00263;entrytype:Toponym;featuretype:Ciudad
id_00264;entrytype:Toponym;featuretype:Pueblo
id_00265;entrytype:Toponym;featuretype:Pueblo
id_00266;entrytype:Toponym;featuretype:Pueblo
id_00267;entrytype:Toponym;featuretype:Pueblo
id_00268;entrytype:Toponym;featuretype:Pueblo
id_00269;entrytype:Toponym;featuretype:Pueblo
id_00270;entrytype:Toponym;featuretype:Pueblo
id_00271;entrytype:Toponym;featuretype:Pueblo
id_00272;entrytype:Toponym;featuretype:Pueblo
id_00273;entrytype:Toponym;featuretype:Pueblo
id_00274;entrytype:Toponym;featuretype:Punta
id_00275;entrytype:Toponym;featuretype:Punta
id_00276;entrytype:Toponym;featuretype:Rio
id_00277;entrytype:Toponym;featuretype:Isla
id_00278;entrytype:Demonym;featuretype:Nación
id_00279;entrytype:Toponym;featuretype:Punta
id_00280;entrytype:Toponym;featuretype:Islotes
id_00281;entrytype:Toponym;featuretype:Pueblo
id_00282;entrytype:Toponym;featuretype:Pueblo
id_00283;entrytype:Toponym;featuretype:Pueblo
id_00284;entrytype:Toponym;featuretype:Pueblo
id_00285;entrytype:Toponym;featuretype:Pueblo
id_00286;entrytype:Toponym;featuretype:Pueblo
id_00287;entrytype:Toponym;featuretype:Pueblo
id_00288;entrytype:Toponym;featuretype:Pueblo
id_00289;entrytype:Toponym;featuretype:Pueblo
id_00290;entrytype:Toponym;featuretype:Pueblo
id_00291;entrytype:Toponym;featuretype:Pueblo
id_00292;entrytype:Toponym;featuretype:Pueblo
id_00293;entrytype:Toponym;featuretype:Pueblo
id_00294;entrytype:Toponym;featuretype:Pueblo
id_00295;entrytype:Toponym;featuretype:Pueblo
id_00296;entrytype:Toponym;featuretype:Pueblo
id_00297;entrytype:Toponym;featuretype:Pueblo
id_00298;entrytype:Toponym;featuretype:Rio
id_00299;entrytype:Toponym;featuretype:Pueblo
id_00300;entrytype:Toponym;featuretype:Pueblo
id_00301;entrytype:Toponym;featuretype:Pueblo
id_00302;entrytype:Toponym;featuretype:Pueblo
id_00303;entrytype:Toponym;featuretype:Pueblo
id_00304;entrytype:Toponym;featuretype:Pueblo
id_00305;entrytype:Toponym;featuretype:Pueblo
id_00306;entrytype:Toponym;featuretype:Pueblo
id_00307;entrytype:Toponym;featuretype:Pueblo
id_00308;entrytype:Toponym;featuretype:Villa
id_00309;entrytype:Toponym;featuretype:Pueblo
id_00310;entrytype:Toponym;featuretype:Pueblo
id_00311;entrytype:Toponym;featuretype:Pueblo
id_00312;entrytype:Toponym;featuretype:Rio
id_00313;entrytype:Toponym;featuretype:Pueblo
id_00314;entrytype:Toponym;featuretype:Pueblo
id_00315;entrytype:Toponym;featuretype:Pueblo
id_00316;entrytype:Toponym;featuretype:Pueblo
id_00317;entrytype:Toponym;featuretype:Pueblo
id_00318;entrytype:Toponym;featuretype:Rio
id_00319;entrytype:Toponym;featuretype:Pueblo
id_00320;entrytype:Toponym;featuretype:Pueblo
id_00321;entrytype:Toponym;featuretype:Pueblo
id_00322;entrytype:Toponym;featuretype:Pueblo
id_00323;entrytype:Toponym;featuretype:Pueblo
id_00324;entrytype:Toponym;featuretype:Pueblo
id_00325;entrytype:Toponym;featuretype:Rio
id_00326;entrytype:Toponym;featuretype:Provincia
id_00327;entrytype:Toponym;featuretype:Rio
id_00328;entrytype:Toponym;featuretype:Pueblo
id_00329;entrytype:Toponym;featuretype:Mina
id_00330;entrytype:Toponym;featuretype:Pueblo
id_00331;entrytype:Toponym;featuretype:Pueblo
id_00332;entrytype:Toponym;featuretype:Pueblo
id_00333;entrytype:Toponym;featuretype:Pueblo
id_00334;entrytype:Toponym;featuretype:Pueblo
id_00335;entrytype:Toponym;featuretype:Pueblo
id_00336;entrytype:Toponym;featuretype:Pueblo
id_00337;entrytype:Toponym;featuretype:Pueblo
id_00338;entrytype:Demonym;featuretype:Nación
id_00339;entrytype:Toponym;featuretype:Pueblo
id_00340;entrytype:Toponym;featuretype:Pueblo
id_00341;entrytype:Toponym;featuretype:Ciudad
id_00342;entrytype:Toponym;featuretype:Aldea
id_00343;entrytype:Toponym;featuretype:Pueblo
id_00344;entrytype:Toponym;featuretype:Rio
id_00345;entrytype:Demonym;featuretype:Nación
id_00346;entrytype:Toponym;featuretype:Rio
id_00347;entrytype:Toponym;featuretype:Pueblo
