ID;Facsimile;Pagenumber
id_01060;Alcedo_vol_1-0136;v1-0136
id_01061;Alcedo_vol_1-0136;v1-0136
id_01062;Alcedo_vol_1-0136;v1-0136
id_01063;Alcedo_vol_1-0136;v1-0136
id_01064;Alcedo_vol_1-0136;v1-0136
id_01065;Alcedo_vol_1-0136;v1-0136
id_01066;Alcedo_vol_1-0136;v1-0136
id_01067;Alcedo_vol_1-0136;v1-0136
id_01068;Alcedo_vol_1-0137;v1-0137
id_01069;Alcedo_vol_1-0137;v1-0137
id_01070;Alcedo_vol_1-0137;v1-0137
id_01071;Alcedo_vol_1-0137;v1-0137
id_01072;Alcedo_vol_1-0137;v1-0137
id_01073;Alcedo_vol_1-0137;v1-0137
id_01074;Alcedo_vol_1-0137;v1-0137
id_01075;Alcedo_vol_1-0137;v1-0137
id_01076;Alcedo_vol_1-0137;v1-0137
id_01077;Alcedo_vol_1-0137;v1-0137
id_01078;Alcedo_vol_1-0138;v1-0138
id_01079;Alcedo_vol_1-0138;v1-0138
id_01080;Alcedo_vol_1-0138;v1-0138
id_01081;Alcedo_vol_1-0138;v1-0138
id_01082;Alcedo_vol_1-0138;v1-0138
id_01083;Alcedo_vol_1-0138;v1-0138
id_01084;Alcedo_vol_1-0138;v1-0138
id_01085;Alcedo_vol_1-0138;v1-0138
id_01086;Alcedo_vol_1-0138;v1-0138
id_01087;Alcedo_vol_1-0139;v1-0139
id_01088;Alcedo_vol_1-0139;v1-0139
id_01089;Alcedo_vol_1-0139;v1-0139
id_01090;Alcedo_vol_1-0139;v1-0139
id_01091;Alcedo_vol_1-0139;v1-0139
id_01092;Alcedo_vol_1-0139;v1-0139
id_01093;Alcedo_vol_1-0139;v1-0139
id_01094;Alcedo_vol_1-0139;v1-0139
id_01095;Alcedo_vol_1-0139;v1-0139
id_01096;Alcedo_vol_1-0139;v1-0139
id_01097;Alcedo_vol_1-0139;v1-0139
id_01098;Alcedo_vol_1-0140;v1-0140
id_01099;Alcedo_vol_1-0140;v1-0140
id_01100;Alcedo_vol_1-0140;v1-0140
id_01101;Alcedo_vol_1-0140;v1-0140
id_01102;Alcedo_vol_1-0140;v1-0140
id_01103;Alcedo_vol_1-0140;v1-0140
id_01104;Alcedo_vol_1-0140;v1-0140
id_01105;Alcedo_vol_1-0140;v1-0140
id_01106;Alcedo_vol_1-0140;v1-0140
id_01107;Alcedo_vol_1-0140;v1-0140
id_01108;Alcedo_vol_1-0140;v1-0140
id_01109;Alcedo_vol_1-0141;v1-0141
id_01110;Alcedo_vol_1-0141;v1-0141
id_01111;Alcedo_vol_1-0141;v1-0141
id_01112;Alcedo_vol_1-0141;v1-0141
id_01113;Alcedo_vol_1-0141;v1-0141
id_01114;Alcedo_vol_1-0141;v1-0141
id_01115;Alcedo_vol_1-0141;v1-0141
id_01116;Alcedo_vol_1-0141;v1-0141
