termID|corresp_entry|volume|Nombre|majortype|featuretype|conf_identity|idno_base|gazetteermatch|Province|region|auto|flag|corresp_concept
TopUrbiTerm28736|id_18414|5|Anime|Term|Pharmacy|-||-|-|-|18736||
TopUrbiTerm28737|id_18415|5|Anona|Term|Botany|-||-|-|-|18737||
TopUrbiTerm28738|id_18416|5|Anta|Term|Animal|-||-|-|-|18738||
TopUrbiTerm28739|id_18417|5|Aperiades|Term|Animal|-||-|-|-|18739||
TopUrbiTerm28740|id_18419|5|Apotoyomatsi|Term|Botany|-||-|-|-|18740||
TopUrbiTerm28741|id_18420|5|Arador|Term|Animal|-||-|-|-|18741||
TopUrbiTerm28742|id_18421|5|Ara guata|Term|Animal|-||-|-|-|18742||
TopUrbiTerm28743|id_18422|5|Arandelas|Term|Textiles|-||-|-|-|18743||
TopUrbiTerm28744|id_18423|5|Aranoake|Term|Pharmacy|-||-|-|-|18744||
TopUrbiTerm28745|id_18424|5|Ardilla volante|Term|Animal|-||-|-|-|18745||
TopUrbiTerm28746|id_18425|5|Arepa|Term|Nutriment|-||-|-|-|18746||
TopUrbiTerm28747|id_18426|5|Armadillo|Term|Animal|-||-|-|-|18747||
TopUrbiTerm28748|id_18427|5|Arracacha|Term|Botany|-||-|-|-|18748||
TopUrbiTerm28749|id_18428|5|Asnaucho|Term|Nutriment|-||-|-|-|18749||
TopUrbiTerm28750|id_18429|5|Ayate|Term|Textiles|-||-|-|-|18750||
TopUrbiTerm28751|id_18430|5|Auyama|Term|Botany|-||-|-|-|18751||
TopUrbiTerm28752|id_18431|5|Babagui|Term|Animal|-||-|-|-|18752||
TopUrbiTerm28753|id_18432|5|Bacha|Term|Synonym|-||-|-|-|18753||
TopUrbiTerm28754|id_18433|5|Badea|Term|Botany|-||-|-|-|18754||
TopUrbiTerm28755|id_18434|5|Bagre|Term|Animal|-||-|-|-|18755||
TopUrbiTerm28756|id_18435|5|Bainilla|Term|Botany|-||-|-|-|18756||
TopUrbiTerm28757|id_18436|5|Bajareque|Term|Construction|-||-|-|-|18757||
TopUrbiTerm28758|id_18437|5|Balsamo|Term|Pharmacy|-||-|-|-|18758||
TopUrbiTerm28759|id_18438|5|Banano|Term|Nutriment|-||-|-|-|18759||
TopUrbiTerm28760|id_18439|5|Balsa|Term|Botany|-||-|-|-|18760|y|Balsa
TopUrbiTerm28761|id_18440|5|Baqueano|Term|Social|-||-|-|-|18761||
TopUrbiTerm28762|id_18441|5|Baquira|Term|Animal|-||-|-|-|18762||
TopUrbiTerm28763|id_18442|5|Barqueta|Term|Construction|-||-|-|-|18763||
TopUrbiTerm28764|id_18443|5|Barrio|Term|Settlement|-||-|-|-|18764|y|Barrio
TopUrbiTerm28765|id_18444|5|Barro|Term|Nutriment|-||-|-|-|18765||
TopUrbiTerm28766|id_18445|5|Batea|Term|Synonym|-||-|-|-|18766||
TopUrbiTerm28767|id_18446|5|Bayuca|Term|Synonym|-||-|-|-|18767||
TopUrbiTerm28768|id_18447|5|Bejuco|Term|Botany|-||-|-|-|18768||
TopUrbiTerm28769|id_18448|5|Bejuco|Term|Animal|-||-|-|-|18769||
TopUrbiTerm28770|id_18449|5|Bejuquillo|Term|Pharmacy|-||-|-|-|18770||
TopUrbiTerm28771|id_18450|5|Berrendo|Term|Animal|-||-|-|-|18771||
TopUrbiTerm28772|id_18451|5|Blandengue|Term|Social|-||-|-|-|18772||
TopUrbiTerm28773|id_18452|5|Bicho|Term|Illness|-||-|-|-|18773||
TopUrbiTerm28774|id_18453|5|Bio|Term|Animal|-||-|-|-|18774||
TopUrbiTerm28775|id_18454|5|Bobo|Term|Animal|-||-|-|-|18775||
TopUrbiTerm28776|id_18455|5|Bocachico|Term|Animal|-||-|-|-|18776||
TopUrbiTerm28777|id_18456|5|Bodoquero|Term|Social|-||-|-|-|18777||
TopUrbiTerm28778|id_18457|5|Bollo|Term|Nutriment|-||-|-|-|18778||
TopUrbiTerm28779|id_18458|5|Bombilla|Term|Produce|-||-|-|-|18779||
TopUrbiTerm28780|id_18459|5|Bongo|Term|Construction|-||-|-|-|18780||
TopUrbiTerm28781|id_18460|5|Boguilla|Term|Animal|-||-|-|-|18781||
TopUrbiTerm28782|id_18461|5|Bordillo|Term|Textiles|-||-|-|-|18782||
TopUrbiTerm28783|id_18462|5|Botija|Term|Produce|-||-|-|-|18783||
TopUrbiTerm28784|id_18463|5|Bozal|Term|Social|-||-|-|-|18784|y|Bozal
TopUrbiTerm28785|id_18464|5|Brasil|Term|Botany|-||-|-|-|18785||
TopUrbiTerm28786|id_18465|5|Briza|Term|Climate|-||-|-|-|18786||
TopUrbiTerm28787|id_18466|5|Buairon|Term|Animal|-||-|-|-|18787||
TopUrbiTerm28788|id_18467|5|Bucaniers|Term|Social|-||-|-|-|18788||
TopUrbiTerm28789|id_18468|5|Buho|Term|Animal|-||-|-|-|18789||
TopUrbiTerm28790|id_18470|5|Bujio|Term|Construction|-||-|-|-|18790||
TopUrbiTerm28791|id_18471|5|Cabuya|Term|Textiles|-||-|-|-|18791||
TopUrbiTerm28792|id_18472|5|Cacao|Term|Botany|-||-|-|-|18792||
TopUrbiTerm28794|id_18474|5|Cachupin|Term|Social|-||-|-|-|18794||
TopUrbiTerm28795|id_18475|5|Cagui|Term|Animal|-||-|-|-|18795||
TopUrbiTerm28796|id_18476|5|Caiman|Term|Animal|-||-|-|-|18796||
TopUrbiTerm28797|id_18477|5|Caimito|Term|Botany|-||-|-|-|18797||
TopUrbiTerm28798|id_18478|5|Calaguala|Term|Botany|-||-|-|-|18798||
TopUrbiTerm28799|id_18479|5|Calemback|Term|Botany|-||-|-|-|18799||
TopUrbiTerm28800|id_18480|5|Cajeta|Term|Synonym|-||-|-|-|18800||
TopUrbiTerm28801|id_18481|5|Cambures|Term|Botany|-||-|-|-|18801||
TopUrbiTerm28802|id_18482|5|Camellones|Term|Structure|-||-|-|-|18802||
TopUrbiTerm28804|id_18484|5|Camiseta|Term|Textiles|-||-|-|-|18804||
TopUrbiTerm28805|id_18485|5|Camote|Term|Botany|-||-|-|-|18805||
TopUrbiTerm28806|id_18486|5|Campeche|Term|Botany|-||-|-|-|18806||
TopUrbiTerm28807|id_18487|5|Cañabrava|Term|Botany|-||-|-|-|18807||
TopUrbiTerm28808|id_18488|5|Cañafistula|Term|Pharmacy|-||-|-|-|18808||
TopUrbiTerm28809|id_18489|5|Cañahua|Term|Nutriment|-||-|-|-|18809||
TopUrbiTerm28810|id_18490|5|Cañahuate|Term|Botany|-||-|-|-|18810||
TopUrbiTerm28811|id_18491|5|Canalete|Term|Produce|-||-|-|-|18811||
TopUrbiTerm28812|id_18492|5|Canapia|Term|Botany|-||-|-|-|18812||
TopUrbiTerm28813|id_18493|5|Canchalagua|Term|Pharmacy|-||-|-|-|18813||
TopUrbiTerm28814|id_18494|5|Candela|Term|Synonym|-||-|-|-|18814||
TopUrbiTerm28815|id_18495|5|Candelon|Term|Botany|-||-|-|-|18815||
TopUrbiTerm28816|id_18496|5|Canela|Term|Pharmacy|-||-|-|-|18816||
TopUrbiTerm28817|id_18497|5|Canela|Term|Animal|-||-|-|-|18817||
TopUrbiTerm28818|id_18498|5|Canelon|Term|Animal|-||-|-|-|18818||
TopUrbiTerm28819|id_18499|5|Canime|Term|Pharmacy|-||-|-|-|18819||
TopUrbiTerm28820|id_18500|5|Canoa|Term|Construction|-||-|-|-|18820||
TopUrbiTerm28821|id_18501|5|Caoba|Term|Botany|-||-|-|-|18821||
TopUrbiTerm28822|id_18502|5|Capae|Term|Botany|-||-|-|-|18822||
TopUrbiTerm28824|id_18504|5|Capitan|Term|Animal|-||-|-|-|18824||
TopUrbiTerm28825|id_18505|5|Capuli|Term|Botany|-||-|-|-|18825||
TopUrbiTerm28826|id_18506|5|Carana|Term|Pharmacy|-||-|-|-|18826||
TopUrbiTerm28827|id_18507|5|Caratas|Term|Botany|-||-|-|-|18827||
TopUrbiTerm28828|id_18508|5|Carate|Term|Illness|-||-|-|-|18828||
TopUrbiTerm28829|id_18509|5|Caraya|Term|Animal|-||-|-|-|18829||
TopUrbiTerm28830|id_18509a|5|Cardenal|Term|Animal|-||-|-|-|18830||
TopUrbiTerm28831|id_18510|5|Cardo santo|Term|Botany|-||-|-|-|18831||
TopUrbiTerm28832|id_18511|5|Carei|Term|Animal|-||-|-|-|18832||
TopUrbiTerm28834|id_18513|5|Carotu|Term|Botany|-||-|-|-|18834||
TopUrbiTerm28835|id_18514|5|Caruata|Term|Botany|-||-|-|-|18835||
TopUrbiTerm28836|id_18515|5|Cascabel|Term|Animal|-||-|-|-|18836||
TopUrbiTerm28837|id_18538|5|Chalona|Term|Nutriment|-||-|-|-|18837||
TopUrbiTerm28838|id_18539|5|Chamarreta|Term|Textiles|-||-|-|-|18838||
TopUrbiTerm28839|id_18540|5|Champan|Term|Construction|-||-|-|-|18839||
TopUrbiTerm28840|id_18541|5|Changame|Term|Animal|-||-|-|-|18840||
TopUrbiTerm28841|id_18542|5|Chapeton|Term|Social|-||-|-|-|18841||
TopUrbiTerm28842|id_18543|5|Chapetonada|Term|Illness|-||-|-|-|18842||
TopUrbiTerm28843|id_18544|5|Charaguaray|Term|Botany|-||-|-|-|18843||
TopUrbiTerm28844|id_18545|5|Charal|Term|Animal|-||-|-|-|18844||
TopUrbiTerm28845|id_18546|5|Charapa|Term|Animal|-||-|-|-|18845||
TopUrbiTerm28846|id_18547|5|Charquecillo|Term|Animal|-||-|-|-|18846||
TopUrbiTerm28847|id_18548|5|Charquican|Term|Nutriment|-||-|-|-|18847||
TopUrbiTerm28848|id_18549|5|Chasqui|Term|Social|-||-|-|-|18848||
TopUrbiTerm28849|id_18550|5|Chata|Term|Construction|-||-|-|-|18849||
TopUrbiTerm28850|id_18551|5|Chavacano|Term|Nutriment|-||-|-|-|18850||
TopUrbiTerm28851|id_18552|5|Chepe|Term|Synonym|-||-|-|-|18851||
TopUrbiTerm28852|id_18553|5|Chia|Term|Synonym|-||-|-|-|18852||
TopUrbiTerm28853|id_18554|5|Chicha|Term|Nutriment|-||-|-|-|18853||
TopUrbiTerm28854|id_18555|5|Chicle|Term|Pharmacy|-||-|-|-|18854||
TopUrbiTerm28855|id_18556|5|Chico zapote|Term|Botany|-||-|-|-|18855||
TopUrbiTerm28856|id_18557|5|Chiguire|Term|Animal|-||-|-|-|18856||
