entry_id,corresp_entry,normname,entrytype,majortype,featuretype,province,region,PlaceID
id_05560,,Don don,Toponym,settlement,Pueblo Parroquia,Saint-Domingue,unspecified,TopUrbiPlace15724
id_05561,,Donevis,Toponym,landmark,Rio,Sagadahook,unspecified,TopUrbiPlace15725
id_05562,,Donguill,Toponym,landmark,Rio,Chile,Chile,TopUrbiPlace15726
id_05563,,Dorado,Toponym,territory,Provincia,Dorado,Nueva Andalucía,TopUrbiPlace15727
id_05564,,Dorado,Toponym,landmark,Rio,Tucuman,unspecified,TopUrbiPlace15728
id_05565,,Dorchester,Toponym,territory,Condado,Maryland,unspecified,TopUrbiPlace15729
id_05566,,Dorchester,Toponym,settlement,Ciudad,New England,Nueva Inglaterra,TopUrbiPlace15730
id_05567,,Dorchester,Toponym,settlement,Pueblo,Massachussetts,Nueva Inglaterra,TopUrbiPlace15731
id_05568,,Dorchester,Toponym,settlement,Pueblo,Georgia,unspecified,TopUrbiPlace15732
id_05569,,Dorchester,Toponym,settlement,Ciudad,Carolina,unspecified,TopUrbiPlace15733
id_05570,,Doreval,Toponym,settlement,Villa,Canada,Nueva Francia,TopUrbiPlace15734
id_05571,,Punta Dormida,Toponym,landmark,Punta,Santo Domingo,unspecified,TopUrbiPlace15735
id_05572,,Dormida,Toponym,settlement,Pueblo,Tucuman,Perú,TopUrbiPlace15736
id_05573,,Dotaciones,Referral,Referral,None,unspecified,unspecified,TopUrbiPlace15737
id_05574,,Dover,Toponym,settlement,Ciudad,Pennsylvania,unspecified,TopUrbiPlace15738
id_05575,,Dover,Toponym,settlement,Ciudad,Delaware,unspecified,TopUrbiPlace15739
id_05576,,Dover,Toponym,settlement,Ciudad,New England,unspecified,TopUrbiPlace15740
id_05577,,Dover,Toponym,settlement,Pueblo,New York,unspecified,TopUrbiPlace15741
id_05578,,Dover,Toponym,landmark,Rio,Pennsylvania,unspecified,TopUrbiPlace15742
id_05579,,Doymas,Toponym,human_group,Nación,unspecified,Nueva Granada,TopUrbiGroup15743
id_05580,,Racut,Toponym,settlement,Pueblo,Massachussetts,Nueva Inglaterra,TopUrbiPlace15744
id_05581,,Boca del Drago,Toponym,landmark,Entrada,Trinidad,unspecified,TopUrbiPlace15745
id_05582,,Draguitas,Toponym,human_group,Nación,Tucuman,Perú,TopUrbiGroup15746
id_05583,,Drare,Toponym,landmark,Puerto,California,unspecified,TopUrbiPlace15747
id_05584,,Drare,Toponym,landmark,Farallón,Tierra Firme,unspecified,TopUrbiPlace15748
id_05585,,Drax-hall,Toponym,settlement,Pueblo,Barbados,unspecified,TopUrbiPlace15749
id_05586,,Drax-hope,Toponym,settlement,Pueblo,Barbados,unspecified,TopUrbiPlace15750
id_05587,,Ensenada de Drie,Toponym,landmark,Ensenada,Saint-Domingue,unspecified,TopUrbiPlace15751
id_05587a,,Drum,Toponym,landmark,Isla,South Carolina,unspecified,TopUrbiPlace15752
id_05588,,Drye,Toponym,settlement,Pueblo,Jamaica,unspecified,TopUrbiPlace15753
id_05589,,Duaca,Toponym,settlement,Pueblo,Venezuela,unspecified,TopUrbiPlace15754
id_05590,,Farallones de Duarte,Toponym,landmark,Islotes,unspecified,Tierra-Firme,TopUrbiPlace15755
id_05591,,Duearro,Toponym,landmark,Rio,unspecified,Nueva Granada,TopUrbiPlace15756
id_05592,,Dublin,Toponym,settlement,Ciudad,Pennsylvania,unspecified,TopUrbiPlace15757
id_05593,,Duche,Toponym,settlement,Pueblo Parroquia,Guadalupe,unspecified,TopUrbiPlace15758
id_05594,,Península del Duclos,Toponym,landmark,Punta de tierra,Malvinas,unspecified,TopUrbiPlace15759
id_05595,,Duino,Toponym,landmark,Rio,Sucumbios,Quito,TopUrbiPlace15760
id_05596,,Duitama,Toponym,settlement,Pueblo,Tunja,Nueva Granada,TopUrbiPlace15761
id_05597,,Dulce,Toponym,landmark,Rio,Tucuman,unspecified,TopUrbiPlace15762
id_05598,,Dulce,Toponym,landmark,Rio,Ilheos,Brasil,TopUrbiPlace15763
id_05598a,,Dulce,Toponym,landmark,Rio,Honduras,unspecified,TopUrbiPlace15764
id_05599,,Dulce,Toponym,landmark,Rio,Texas,Nueva España,TopUrbiPlace15765
id_05600,,Dulce,Toponym,landmark,Golfo,Costa Rica,Guatemala,TopUrbiPlace15766
id_05601,,Dulcino,Toponym,settlement,Pueblo,Santa Marta,Tierra-Firme,TopUrbiPlace15767
id_05602,,Duma,Toponym,landmark,Rio,Nuevo Reyno de Granada,Nueva Granada,TopUrbiPlace15768
id_05603,,Duma,Toponym,settlement,Pueblo,Nuevo Reyno de Granada,unspecified,TopUrbiPlace15769
id_05604,,Dumer,Toponym,structure,Fuerte,New Hampshire,unspecified,TopUrbiPlace15770
id_05605,,Dun,Toponym,settlement,Pueblo,Barbados,unspecified,TopUrbiPlace15771
id_05606,,Duna,Toponym,landmark,Rio,Ilheos,Brasil,TopUrbiPlace15772
id_05607,,Dunquen,Toponym,landmark,Rio,Paraguay,unspecified,TopUrbiPlace15773
id_05608,,Dunsbury,Toponym,settlement,Pueblo,Massachussetts,unspecified,TopUrbiPlace15774
id_05609,,Dunstable,Toponym,settlement,Pueblo,New Hampshire,Nueva Inglaterra,TopUrbiPlace15775
id_05610,,Duplin,Toponym,territory,Condado,North Carolina,unspecified,TopUrbiPlace15776
id_05611,,DUQUE,Toponym,territory,Condado,New York,unspecified,TopUrbiPlace15777
id_05612,,Duque,Referral,Referral,None,unspecified,Nueva Inglaterra,TopUrbiPlace15778
